times,x,y,yerr
2026-03-03 16:14:42.932302,0,0,0
2026-03-03 16:18:03.452422,0,-4.2945614,10.107583
2026-03-03 16:25:13.601236,21233664,172.56622,43.717793
2026-03-03 16:30:06.317886,42467328,358.9135,140.98434
2026-03-03 16:35:14.620505,63700992,684.85504,351.74658
2026-03-03 16:40:17.469825,84934656,1177.2595,796.44543
2026-03-03 16:45:12.864718,106168320,1311.007,761.21844
2026-03-03 16:50:06.594417,127401984,1456.2885,735.3292
2026-03-03 16:55:01.286432,148635648,1836.6378,1292.8469
2026-03-03 16:59:54.813310,169869312,1633.3604,893.1543
2026-03-03 17:04:47.362301,191102976,1810.1619,935.3613
2026-03-03 17:09:50.864902,212336640,2066.3691,1314.9047
2026-03-03 17:14:46.726449,233570304,2249.009,1323.063
2026-03-03 17:19:42.612159,254803968,2130.1309,1044.0432
2026-03-03 17:24:37.320664,276037632,2248.2659,1310.9027
2026-03-03 17:29:30.188783,297271296,2417.3308,1530.3745
2026-03-03 17:34:22.726116,318504960,2134.7202,1224.9716
2026-03-03 17:39:15.420120,339738624,2013.5813,1096.172
2026-03-03 17:44:09.097198,360972288,1958.4031,1022.7593
2026-03-03 17:49:04.118612,382205952,1960.0442,879.24054
2026-03-03 17:53:57.773520,403439616,2148.9114,1122.8445
