times,x,y,yerr
2026-03-04 17:42:44.508963,0,0,0
2026-03-04 17:46:16.897283,0,7.0558567,6.285806
2026-03-04 17:54:12.756475,21233664,157.02327,77.81455
2026-03-04 17:59:38.394389,42467328,1601.6384,1078.2477
2026-03-04 18:05:00.541970,63700992,3709.2556,1849.8873
2026-03-04 18:10:22.230553,84934656,4674.9507,2118.56
2026-03-04 18:15:48.889236,106168320,5668.7764,2217.981
2026-03-04 18:21:15.003993,127401984,6563.399,1953.1888
2026-03-04 18:26:45.024340,148635648,7036.455,1967.9694
2026-03-04 18:32:14.136494,169869312,7256.8496,2060.1506
2026-03-04 18:37:41.824401,191102976,7768.589,1648.8798
2026-03-04 18:43:03.370607,212336640,7695.726,1880.69
2026-03-04 18:48:25.139996,233570304,8154.5713,1627.8934
2026-03-04 18:53:46.774565,254803968,8402.357,1422.1451
2026-03-04 18:59:08.405008,276037632,8335.766,1548.0345
2026-03-04 19:04:30.236470,297271296,8053.333,1968.317
2026-03-04 19:09:51.928493,318504960,8422.847,1652.1105
2026-03-04 19:15:13.822376,339738624,8679.234,1050.4641
2026-03-04 19:20:35.605479,360972288,8289.984,1919.3179
2026-03-04 19:25:57.357547,382205952,8113.3525,2042.9263
2026-03-04 19:31:19.228771,403439616,8395.166,1804.8889
