times,x,y,yerr
2026-03-03 18:42:27.231562,0,0,0
2026-03-03 18:46:01.966605,0,74.258934,28.184185
2026-03-03 18:54:08.724592,21233664,665.6966,464.55862
2026-03-03 18:59:48.951813,42467328,3849.3696,2717.3809
2026-03-03 19:05:29.463851,63700992,5337.77,3310.7598
2026-03-03 19:11:10.104907,84934656,5260.6436,3508.1133
2026-03-03 19:16:50.871824,106168320,6680.136,3362.4197
2026-03-03 19:22:31.317312,127401984,6381.089,3577.9893
2026-03-03 19:28:11.801978,148635648,7604.962,3265.7126
2026-03-03 19:33:52.418235,169869312,7949.3135,3277.9177
2026-03-03 19:39:33.829749,191102976,8350.006,3036.829
2026-03-03 19:45:14.316860,212336640,8458.471,3162.1907
2026-03-03 19:50:54.817614,233570304,9044.001,2746.3464
2026-03-03 19:56:35.545987,254803968,9316.624,2714.6436
2026-03-03 20:02:16.291557,276037632,9314.998,2737.8933
2026-03-03 20:07:56.959961,297271296,9565.755,2609.0571
2026-03-03 20:13:37.709068,318504960,9410.977,2694.09
2026-03-03 20:19:18.305090,339738624,9625.365,2495.318
2026-03-03 20:24:58.991107,360972288,9760.264,2529.9258
2026-03-03 20:30:39.510126,382205952,9521.645,2795.3508
2026-03-03 20:36:20.065660,403439616,9474.134,2858.1677
