times,x,y,yerr
2025-09-15 13:17:48.923234,0,0,0
2025-09-15 13:21:42.711032,0,49.730766,17.369936
2025-09-15 13:25:56.233311,5505024,96.2158,42.437603
2025-09-15 13:27:34.467341,11010048,125.309845,56.606617
2025-09-15 13:29:12.184106,16515072,216.66333,143.39218
2025-09-15 13:30:50.653413,22020096,323.00806,285.14975
2025-09-15 13:32:28.674695,27525120,601.87756,516.7993
2025-09-15 13:34:10.041241,33030144,1179.5039,1066.8323
2025-09-15 13:35:49.264272,38535168,2162.5312,1594.8984
2025-09-15 13:37:29.582842,44040192,3556.6382,1645.3232
2025-09-15 13:39:11.358679,49545216,4338.769,1467.0754
2025-09-15 13:41:01.088296,55050240,4893.3774,1626.856
2025-09-15 13:42:56.682568,60555264,5065.3433,1746.0046
2025-09-15 13:44:34.896682,66060288,5758.577,1420.8545
2025-09-15 13:46:12.554776,71565312,5775.989,1585.6112
2025-09-15 13:47:50.362962,77070336,5772.191,1738.6877
2025-09-15 13:49:32.812975,82575360,5646.008,1964.3274
2025-09-15 13:51:26.032171,88080384,5180.985,2417.6758
2025-09-15 13:53:07.969268,93585408,5586.1255,2188.9482
2025-09-15 13:54:45.685381,99090432,5906.1396,2049.6216
2025-09-15 13:56:25.761034,104595456,5869.0254,2218.6357
